KungfuID	dwMountKungfu	Skill
0	0	
10000		358|372;359;362;371;363
10002		578;579;581;580;1214;1215;582;1099
10003		583;584;1216;586;585;1217;587;811
10005		11;12;13;14;15;16;1795;2183;3121;4326;13039;16010;14063;19712;22126;25512;17;34|3373;3374
10009		367;301;306;303;368|369;18640;2674;305
10010		23312;605;4104;21024|81
10011		364;311;365;366;2699|588;2690
10012		312|2681;346;355
10014		345;484;1117;595;485;594;1210;1213
10015		342;343;1207;597;344;596;1208;1113
10017		400;403;415;480|
10018		132|131;130;100;2663;136
10019		140;14664;101;138;142|139;2654
10021		487;491;1235;1236;489;488;490;828
10023		|412;404;413;422
10024		442;418|424;423
10026		520;521;522;524;704;1224;523;1225
10028		492;493;1240;1241;494;495;827;496
10031		232;233;235;236|
10032		238;2572;243|242
10033		252|18604;245;15165
10034		|260;200;258;261;257
10061		427;6520|428;433;2603;426
10062		531;532;1221;533;1222;534;1124;535
10068		2707;561;2716;546|
10069		554;556;565;569;555|3003
10070		537;8670;544;553;557|18579;558
10072		|568;545;574;550;551
10076		662;856;757;758;857;858;859;759
10080		536;538;539;1231;1233;540;541;715
10081		542;560;572;1227;1228;576;577;714
10082		9007;9003;9002|9005;9006;9004;19989;20012;20569;20619;20628;20649;20652;20655;20658;20663;20666;20670;20672;20675;21204;21205;21206;21207;21208;21209;21210;21211;21212;21213;21214;21215;21216;21217;23039;23478;25871;25873
10088		179;180|228
10089		189;182;186;2636;190|2645
10095		608|35
10144		1720;1721;1722;1723;1724;1725;1726;1727
10145		1728;1729;1730;1731;1732;1733;1734;1735
10146		1579;1577;1578|1581;1580;1589
10148		1593;1600;18322;1645|1613
10149		1646;1649;1656|
10150		|1663;1666;1668
10171		2209;6621;2211;2212;2213|6626;2210
10172		18584|3702;2220
10173		2223;2225;2226|2228;2222;2221;2224;2965
10174		2231;13983;2232;2233;6675;2957|2229;2235;2230
10175		2236
10176		2244
10216		3091;3089;3093|3090
10218		3095;3096;3097;3101|3098
10219		3105;3106;3109;3108;3111|3110
10220		18481|3094;3118;3112;3114;3103;
10224		
10225		
10235		3962;3963;3966;3967;3959|3960
10236		|3973;3970;3969;
10237		3974;3979|3977;4910;3975
10238		3982;3980|3985;
10242		
10243		
10263		5258;5354;5361;5362;5260|5259;5257
10264		5367;5368;5369;5370;5266|5638;8490;5262
10265		5268;5269;5270;6942;6945|6946;6947;6948
10268		
10296		5263;5365;18523;5265;5522|5602;5267
10383		|13040;13042;13070;13067
10384		13050;13048;13049|13424;13068
10385		13044;13046;13391|13047;13045
10386		13052;13054;13055|13053
10389		13150
10390		13149
10440	10447	14064;14065;14067;14068;14066|
10440	10448	14137;14303;14138;14140;14141;14139|
10441		14069;14070|14071;14072
10442		|14076;14075;14074;14154;14073
10443		14082|14083;15092;14081;14084
10447		14087
10448		14088
10464		16023
10465		16028;16460|16598
10466		16168;16601;16602;16627;16479|
10467		|16166;16304;17057;16870
10468		16169;16027|16085;16621;16455;16620
10533		19706
10535		19737;19818|20245
10539		19827|20259;19984;20281
10540		20053;19828;20049|20285
10541		|20082;20083;20084
10585		22049
10586		22143;22144;22150|
10588		22327|22320;22321;22358
10589		22274;22361;22460|22614
10590		|22344;22360;22417
10614		24369;24371;24372|24373;24374
10615		24389
10617		24375;24376;24377;24431|24491
10618		24378;24379|24380
10619		24383;25142|24382;24385
