ID	RoleType	Type	ShowID	Name	Des	IconID	FlipID	DefaultRGBA	Label
0	0	0	0			0	-1	255;255;255;255	0
1	1	0	1	默认		5831		180;142;117;255	
2	1	0	2	逸群		5832		192;153;134;255	
3	1	0	3	白净		5833		186;151;137;255	
4	1	0	4	古铜		5834		173;131;105;255	
5	1	0	5	硬朗		5835		183;147;122;255	
6	1	0	6	冠玉		5836		185;137;113;255	
7	1	0	7	墨颜		12879		185;137;113;255	
8	1	1	1	默认		5849		69;64;48;255	
9	1	1	2	锦瑟		5849		69;64;48;255	
10	1	1	3	秋练		5842		89;64;63;255	
11	1	1	4	玄烛		5843		89;90;80;255	
12	1	1	5	纤阿		5850		49;40;34;255	
13	1	1	6	琳琅		5845		122;73;32;255	
14	1	1	7	望舒		5846		106;105;113;255	
15	1	1	8	猫眼		5847		32;25;24;255	
16	1	1	9	浮图		5848		52;52;34;255	
17	1	1	10	黑洞		13598		52;52;34;255	2
18	1	1	11	守望星辰		13599		52;52;34;255	2
19	1	1	12	七星北斗		13600		52;52;34;255	2
20	1	1	13	轮回		13601		52;52;34;255	2
21	1	2	1	默认		5849		69;64;48;255	
22	1	2	2	锦瑟		5849		69;64;48;255	
23	1	2	3	秋练		5842		89;64;63;255	
24	1	2	4	玄烛		5843		89;90;80;255	
25	1	2	5	纤阿		5850		49;40;34;255	
26	1	2	6	琳琅		5845		122;73;32;255	
27	1	2	7	望舒		5846		106;105;113;255	
28	1	2	8	猫眼		5847		32;25;24;255	
29	1	2	9	浮图		5848		52;52;34;255	
30	1	2	10	黑洞		13598		52;52;34;255	2
31	1	2	11	守望星辰		13599		52;52;34;255	2
32	1	2	12	七星北斗		13600		52;52;34;255	2
33	1	2	13	轮回		13601		52;52;34;255	2
34	1	3	0	默认		5815		255;255;255;255	
35	1	3	1	叠嶂		5806		91;66;58;255	
36	1	3	2	墨央		5807		103;70;53;255	
37	1	3	3	铁目		5808		98;72;64;255	
38	1	3	4	粉黛		5809		127;43;54;255	
39	1	3	5	惑心		5810		163;53;67;255	
40	1	3	6	蝶恋花		5811		66;68;155;255	
41	1	3	7	罗刹		5812		64;37;37;255	
42	1	3	8	羽焰		5813		167;51;76;255	
43	1	3	9	紫颜		5814		153;96;172;255	
44	1	4	1	默认		5762		0;0;0;255	
45	1	4	2	一字		5762		0;0;0;255	
46	1	4	3	二分		5763		0;0;0;255	
47	1	4	4	三刻		5764		0;0;0;255	
48	1	4	5	复峦		5765		0;0;0;255	
49	1	4	6	云目		5766		0;0;0;255	
50	1	4	7	丹枫		5767		0;0;0;255	
51	1	4	8	徒降		5768		0;0;0;255	
52	1	4	9	潮起		5769		0;0;0;255	
53	1	4	10	崖口		5770		0;0;0;255	
54	1	4	11	凝然		5771		0;0;0;255	
55	1	4	12	平刃		5772		0;0;0;255	
56	1	5	1	默认		5666		0;0;0;255	
57	1	5	21	山黛		13617		0;0;0;255	2
58	1	5	22	尺峰		13618		0;0;0;255	2
59	1	5	23	烈狐		13619		0;0;0;255	2
60	1	5	24	惑主		13620		0;0;0;255	2
61	1	5	25	问究		13621		0;0;0;255	2
62	1	5	2	峰眉		5666		0;0;0;255	
63	1	5	3	上挑眉		5667		0;0;0;255	
64	1	5	4	朴实眉		5668		0;0;0;255	
65	1	5	5	飞将眉		5669		0;0;0;255	
66	1	5	6	英杰眉		5670		0;0;0;255	
67	1	5	7	刚正眉		5671		0;0;0;255	
68	1	5	8	刀眉		5672		0;0;0;255	
69	1	5	9	猛张飞		5673		0;0;0;255	
70	1	5	10	羽玉眉		5674		0;0;0;255	
71	1	5	11	狮子眉		5675		0;0;0;255	
72	1	5	12	赛吕布		5676		0;0;0;255	
73	1	5	13	螺旋眉		5677		0;0;0;255	
74	1	5	14	罗汉眉		5678		0;0;0;255	
75	1	5	15	霜剑		6367		255;255;255;255	
76	1	5	16	苍鹰		6368		255;255;255;255	
77	1	5	17	霜叶		6369		255;255;255;255	
78	1	5	18	白毫		6370		255;255;255;255	
79	1	5	19	月毫		6371		255;255;255;255	
80	1	5	20	断浪		7084		0;0;0;255	
81	1	5	0	无		5815		255;255;255;255	
82	1	6	0	默认		5815		255;255;255;255	
83	1	6	1	青皮胡		5999		0;0;0;255	
84	1	6	2	八字胡		6000		0;0;0;255	
85	1	6	3	亦邪胡		6001		0;0;0;255	
86	1	6	4	避世胡		6002		0;0;0;255	
87	1	6	5	英杰胡		6003		0;0;0;255	
88	1	6	6	飞将胡		6004		0;0;0;255	
89	1	6	7	逐世胡		6005		0;0;0;255	
90	1	6	8	地主胡		6006		0;0;0;255	
91	1	6	9	中原胡		6007		0;0;0;255	
92	1	6	10	大络腮胡		6008		0;0;0;255	
93	1	6	11	小络腮胡		6009		0;0;0;255	
94	1	6	12	卫生胡		6010		0;0;0;255	
95	1	6	13	蝉翼胡		6659		0;0;0;255	
96	1	6	14	地主胡<白>		6660		0;0;0;255	
97	1	6	15	小络腮胡<白>		6661		0;0;0;255	
98	1	6	16	玉尘胡		6662		0;0;0;255	
99	1	6	17	大络腮胡<白>		6663		0;0;0;255	
100	1	6	18	酒糟鼻		5549		222;131;122;255	
101	1	7	1	默认		5599		117;76;58;255	
102	1	7	2	久旱		5599		117;76;58;255	
103	1	7	3	河源		5600		128;62;52;255	
104	1	7	4	相逢		5601		131;80;64;255	
105	1	7	5	不动		5602		130;72;55;255	
106	1	7	6	根性		5603		124;84;72;255	
107	1	7	7	厚待		5604		138;74;73;255	
108	1	7	8	烈焰		5605		102;33;22;255	
109	1	7	9	光影		5606		119;72;62;255	
110	1	7	10	随欲		5607		108;57;50;255	
111	1	7	11	枯藤		5608		128;84;69;255	
112	1	7	12	鹰喙		5609		105;65;52;255	
113	1	7	13	鱼唇		5610		157;92;83;255	
114	1	8	1	默认		5556		255;255;255;255	
115	1	8	2	剪水		5556		255;255;255;255	
116	1	8	3	星眸		5557		255;255;255;255	
117	1	8	4	秋水		5558		255;255;255;255	
118	1	8	5	横波		5559		255;255;255;255	
119	1	8	6	春水		5560		255;255;255;255	
120	1	8	7	凝睇		5561		255;255;255;255	
121	1	8	8	清泉		5562		158;194;215;255	
122	1	8	9	悬珠		5563		255;255;255;255	
123	1	8	10	朗星		5564		255;255;255;255	
124	1	8	11	点漆		5565		255;255;255;255	
125	1	8	12	桃花		5566		255;255;255;255	
126	1	8	13	写轮		5567		255;255;255;255	
127	1	8	14	相印		5568		255;255;255;255	
128	1	8	0	无		5816		255;255;255;255	
129	1	9	0	默认		5815		255;255;255;255	
130	1	9	183	深雪		11363		134;173;205;255	
131	1	9	184	胧月夜		11368		166;78;65;255	
132	1	9	169	流金		10547		219;204;123;255	
133	1	9	170	惊昙		10540		255;255;255;255	
134	1	9	171	轻羽		10550		255;255;255;255	
135	1	9	172	鸡爪爪		10543		0;0;0;255	
136	1	9	173	双星泪		10552		0;0;0;255	
137	1	9	174	曼殊沙华		10542		161;45;51;255	
138	1	9	175	夕燕		10545		161;45;51;255	
139	1	9	176	灿金		10549		219;204;123;255	
140	1	9	177	狐说		10544		255;255;255;255	
141	1	9	178	魅星		10541		0;0;0;255	
142	1	9	179	妖星		10546		0;0;0;255	
143	1	9	180	逢虎		10548		0;0;0;255	
144	1	9	182	魂迷夜		10551		0;0;0;255	
