"MapID"	"BossIndex"	"BOSS"	"OtherName"	"Layer3Name"
"0"	"0"	"0"		
"14"	"28"	"神策暗刺卫"	"灵霄峡"	"5人普通"
"17"	"20"	"华铁颅"	"天工坊"	"5人普通"
"18"	"32"	"温纱儿"	"无盐岛"	"5人普通"
"19"	"24"	"鲁飞"	"空雾峰"	"5人普通"
"20"	"16"	"李千水"	"天地三才阵"	"5人普通"
"26"	"37"	"阿斯玛"	"荻花宫前山"	"5人普通"
"28"	"47"	"吉汰"	"日轮山城"	"5人普通"
"32"	"100"	"千手观音"	"战宝迦兰"	"10人普通"
"33"	"53"	"方宇谦"	"天子峰"	"5人普通"
"34"	"42"	"狼牙夜暮刺客"	"风雨稻香村"	"5人普通"
"36"	"56"	"朴宗资"	"天地三才阵"	"5人英雄"
"37"	"59"	"司徒一一"	"天工坊"	"5人英雄"
"40"	"72"	"沙利亚"	"荻花宫前山"	"5人英雄"
"41"	"68"	"杨心羽"	"无盐岛"	"5人英雄"
"42"	"86"	"方鹤影"	"天子峰"	"5人英雄"
"43"	"62"	"梅剑雄"	"空雾峰"	"5人英雄"
"44"	"80"	"服部胧藏"	"日轮山城"	"5人英雄"
"45"	"65"	"水中月、镜中花、空中云"	"灵霄峡"	"5人英雄"
"46"	"107"	"千手观音"	"战宝迦兰"	"25人英雄"
"47"	"76"	"熊奎、汪莽"	"风雨稻香村"	"5人英雄"
"51"	"8"	"夜啸"	"剑冢"	"5人普通"
"53"			"邀星坪"	"2人副本"
"55"			"守株围场"	"2人副本"
"56"			"困龙岭"	"2人副本"
"57"			"陷空坳"	"2人副本"
"60"	"110"	"提多罗吒"	"持国天王殿"	"10人普通"
"61"	"109"	"谢云流"	"宫中神武遗迹"	"10人普通"
"62"	"93"	"叶秋池"	"剑冢"	"5人英雄"
"63"	"112"	"谢云流"	"宫中神武遗迹"	"25人英雄"
"64"	"111"	"谢云流"	"宫中神武遗迹"	"25人普通"
"65"	"113"	"提多罗吒"	"持国天王殿"	"25人普通"
"66"	"114"	"提多罗吒"	"持国天王殿"	"25人英雄"
"67"	"118"	"牡丹"	"荻花宫后山"	"10人普通"
"68"	"176"	"沙利亚"	"荻花圣殿"	"10人普通"
