MapID	ClassID	MinLevel	FitMinLevel	FitMaxLevel	Layer3Name	OtherName	VersionName	DungeonImage1	DungeonFrame1	DungeonImage2	DungeonFrame2	DungeonImage3	DungeonFrame3	EnterWay	BossInfo	Introduction	Tutorial	HelpImage	HelpText	DivideLevel	DivideName	bRaceRank	bGetLock	DlcID	EnterMapID	IsRecommend	Rushmode	RushmodeTip	bIsPast
0	0	0	0	0					0		0		0							0			0	0	0		0	无双模式	0
14	1	13	16	19	5人普通	灵霄峡	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	15	ui\Image\Dungeon\DungeonImage\lingxiaoxia.UITex	0	ui\Image\Dungeon\Background\lingxiaoxia.UITex	0	少林西北	射云 虎啸 华鹤炎	<text>text="阴谋阳谋神策密谋，达摩洞前惊现秘道。" font=162</text>				70	风起稻香			1	5				
17	1	20	23	26	5人普通	天工坊	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	5	ui\Image\Dungeon\DungeonImage\tiangongfang.UITex	0	ui\Image\Dungeon\Background\tiangongfang.UITex	0	万花谷西南	方季常 平三指 震天甲士	<text>text="司徒一一自造机甲，天工坊中蓬莱作乱。" font=162</text>				70	风起稻香			1	2				
18	1	16	19	22	5人普通	无盐岛	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	8	ui\Image\Dungeon\DungeonImage\wuyandao.UITex	0	ui\Image\Dungeon\Background\wuyandao.UITex	0	七秀仙乐码头	罗翼 常万山 钱宗龙 杜姬欣	<text>text="无盐寨中藏污纳垢，七秀叛徒身首异处。" font=162</text>				70	风起稻香			1	16				
19	1	14	17	20	5人普通	空雾峰	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	14	ui\Image\Dungeon\DungeonImage\kongwufeng.UITex	0	ui\Image\Dungeon\Background\kongwufeng.UITex	0	纯阳东北	冯度 王彦直 鬼影小次郎	<text>text="神策军困纯阳道士，小次郎斩天诛之剑。" font=162</text>				70	风起稻香			1	7				
20	1	25	28	31	5人普通	天地三才阵	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	3	ui\Image\Dungeon\DungeonImage\sancaizhen.UITex	0	ui\Image\Dungeon\Background\sancaizhen.UITex	0	天策北	人熊 邓文峰 商仲永	<text>text="商仲永布此三才阵，朱剑秋手刃叛徒子。" font=162</text>				70	风起稻香			1	11				
26	1	100	100	100	5人普通	荻花宫前山	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	3	ui\Image\Dungeon\DungeonImage\DiHuaQianShan.UITex	0	ui\Image\Dungeon\Background\DiHuaQianShan.UITex	0	枫华谷南	阿里曼监查使 阿里曼入教主祭司 卫栖梧 沙利亚	<text>text="红衣祸乱中原武林，侠盗痴心人皮书情。" font=162</text>				70	风起稻香			1	12	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
28	1	100	100	100	5人普通	日轮山城	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	2	ui\Image\Dungeon\DungeonImage\rilunshancheng.UITex	0	ui\Image\Dungeon\Background\rilunshancheng.UITex	0	寇岛西北	上衫勇刀 雾影奈叶、猿飞菖蒲 源明雅 八歧大蛇	<text>text="日轮山城月黑风高，忍者术师鬼没神出。" font=162</text>				70	风起稻香			1	10	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
32	3	100	100	100	10人普通	战宝迦兰	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	10	ui\Image\Dungeon\DungeonImage\zhanbaojialan.UITex	0	ui\Image\Dungeon\Background\zhanbaojialan.UITex	0	洛阳北部，武牢关西南方向，按M打开洛阳地图可看到“战宝迦兰”字样的地方便是。	王海银 朱癸 平等 掌火 智慧&镇恶 风火云三使	<text>text="贞观二十二年，师子光借助叛臣阿罗顺那的实力建起一座规模宏大的寺庙，名为“战宝迦兰”，自称“菩提会”，实为针对大唐的秘密组织。\\\n　　长寿三年，师子光逝世，弟子摩提耶罗继承了他的职位，此时菩提会已变成宗教狂热分子的集中所在。菩提会弟子疯狂地想要夺回甚至不惜摧毁唐朝寺院所收藏的天竺经书。摩提耶罗派遣十二宝树王中的数位支援中土，更希望中土弟子能与其他势力联合，互相辅助达成目的。\\\n　　天宝五年，杨国忠为削弱与李氏天策府交好的少林，与菩提会合作。菩提会终于在中土有了属于自己的寺院，他们将这座位于洛阳的寺院取名为“战宝迦兰”以纪念天竺总教，人称他们为“天竺迦兰僧”。" font=162</text>				70	风起稻香			1	8	1			
33	1	100	100	100	5人普通	天子峰	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	6	ui\Image\Dungeon\DungeonImage\tianzifeng.UITex	0	ui\Image\Dungeon\Background\tianzifeng.UITex	0	南屏山中	柳随风 孙敬萧 李尧 玄悲 陌香 方宇谦	<text>text="叛臣贼子盘踞天子，东海侠客密寻剑谱。" font=162</text>				70	风起稻香			1	22	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
34	1	100	100	100	5人普通	风雨稻香村	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	8	ui\Image\Dungeon\DungeonImage\fengyudaoxiangcun.UITex	0	ui\Image\Dungeon\Background\fengyudaoxiangcun.UITex	0	新手镇车夫	殷不为 肖童 刘大海 秦雷 狼牙夜暮刺客	<text>text="十年路长重聚稻香，昔日孩童已成少年。" font=162</text>				70	风起稻香			1	6	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
36	2	100	100	100	5人英雄	天地三才阵	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	3	ui\Image\Dungeon\DungeonImage\sancaizhen.UITex	0	ui\Image\Dungeon\Background\sancaizhen.UITex	0	天策北	范霸 赵天龙 朴宗资	<text>text="连环坞强占三才阵，朴宗资踞此造机箭。" font=162</text>				70	风起稻香			1	11	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
37	2	100	100	100	5人英雄	天工坊	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	5	ui\Image\Dungeon\DungeonImage\tiangongfang.UITex	0	ui\Image\Dungeon\Background\tiangongfang.UITex	0	万花谷西南	煞灵魔尸 塔玛 司徒一一	<text>text="天一邪教毒染天工，司徒一一灰飞烟灭。" font=162</text>				70	风起稻香			1	2	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
40	2	100	100	100	5人英雄	荻花宫前山	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	3	ui\Image\Dungeon\DungeonImage\DiHuaQianShan.UITex	0	ui\Image\Dungeon\Background\DiHuaQianShan.UITex	0	枫华谷南	阿里曼监察使 阿里曼入教主祭司 卫栖梧 沙利亚	<text>text="红衣教圣火熄不灭，沙利亚又召祭司使。" font=162</text>				70	风起稻香			1	12	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
41	2	100	100	100	5人英雄	无盐岛	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	8	ui\Image\Dungeon\DungeonImage\wuyandao.UITex	0	ui\Image\Dungeon\Background\wuyandao.UITex	0	七秀仙乐码头	罗翼 庞虎文 杨心羽	<text>text="神策旧部心狠手辣，七秀弟子身陷囹圄。" font=162</text>				70	风起稻香			1	16	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
