SkillID 	SkillLevel 	OpenLevel
10	1	3
10	2	5
10	3	9
10	4	15
10	5	25
10	6	30
10	7	35
10	8	45
10	9	55
10	10	65
35	1	70
49	1	1
49	2	3
49	3	6
49	4	9
49	5	12
49	6	15
49	7	20
49	8	30
49	9	40
49	10	50
52	1	6
52	2	8
52	3	20
52	4	40
52	5	60
58	1	5
58	2	15
58	3	30
58	4	45
58	5	60
81	1	15
100	1	46
101	1	20
101	2	24
101	3	30
101	4	36
101	5	42
101	6	48
101	7	54
101	8	60
101	9	66
130	1	20
130	2	26
130	3	34
130	4	42
130	5	50
130	6	58
130	7	66
131	1	48
132	1	22
132	2	28
132	3	36
132	4	44
132	5	52
132	6	60
132	7	68
133	1	38
134	1	40
136	1	42
137	1	18
137	2	24
137	3	32
137	4	40
137	5	48
137	6	56
137	7	64
138	1	24
138	2	28
138	3	34
138	4	40
138	5	46
138	6	52
138	7	58
138	8	64
139	1	22
139	2	30
139	3	40
139	4	50
139	5	60
140	1	38
141	1	32
141	2	38
141	3	46
141	4	54
141	5	62
142	1	28
142	2	34
142	3	42
142	4	50
142	5	58
142	6	66
143	1	42
143	2	50
143	3	60
179	1	15
179	2	22
179	3	30
179	4	38
179	5	46
179	6	54
179	7	62
179	8	68
180	1	15
180	2	18
180	3	24
180	4	30
180	5	36
180	6	42
180	7	48
180	8	54
180	9	60
180	10	66
181	1	24
181	2	42
181	3	62
182	1	18
182	2	20
182	3	28
182	4	36
182	5	44
182	6	52
182	7	60
182	8	68
183	1	34
184	1	44
184	2	52
184	3	62
184	4	68
186	1	36
186	2	44
186	3	54
186	4	64
187	1	40
187	2	44
187	3	50
187	4	56
187	5	62
188	1	50
188	2	56
188	3	64
189	1	26
189	2	36
189	3	48
189	4	60
190	1	30
190	2	36
190	3	44
190	4	52
190	5	60
190	6	68
200	1	15
200	2	24
200	3	34
200	4	44
200	5	54
200	6	64
228	1	18
228	2	28
228	3	38
228	4	48
228	5	58
228	6	68
230	1	20
232	1	15
232	2	20
232	3	26
232	4	32
232	5	38
232	6	44
232	7	50
232	8	56
232	9	62
232	10	68
233	1	15
233	2	22
233	3	30
233	4	38
233	5	46
233	6	54
233	7	62
234	1	24
234	2	32
234	3	42
234	4	52
234	5	62
235	1	20
235	2	26
235	3	32
235	4	38
235	5	44
235	6	50
235	7	56
235	8	62
235	9	68
236	1	36
236	2	40
236	3	48
236	4	56
236	5	64
237	1	48
237	2	52
237	3	58
237	4	64
237	5	68
238	1	18
238	2	22
238	3	28
238	4	34
238	5	40
238	6	46
238	7	52
238	8	58
238	9	64
239	1	38
239	2	30
239	3	40
239	4	50
239	5	60
240	1	34
240	2	42
240	3	52
240	4	62
241	1	20
241	2	34
241	3	42
241	4	50
241	5	58
241	6	66
242	1	26
243	1	30
243	2	48
243	3	54
243	4	60
243	5	66
245	1	22
245	2	28
245	3	38
245	4	48
245	5	58
245	6	68
246	1	22
246	2	28
246	3	38
246	4	48
246	5	58
246	6	68
247	1	28
247	2	34
247	3	44
247	4	54
247	5	64
248	1	32
248	2	38
248	3	46
248	4	54
248	5	62
249	1	40
249	2	48
249	3	58
249	4	68
250	1	40
250	2	48
250	3	58
250	4	68
251	1	32
251	2	38
251	3	46
251	4	54
251	5	62
252	1	44
252	2	54
252	3	64
254	1	38
254	2	38
255	1	26
255	2	38
255	3	48
255	4	58
255	5	68
257	1	46
258	1	24
259	1	34
259	2	42
260	1	50
261	1	42
261	2	50
261	3	60
261	4	68
300	1	15
301	1	15
301	2	22
301	3	30
301	4	38
301	5	46
301	6	54
301	7	62
303	1	24
303	2	32
303	3	42
303	4	52
303	5	62
305	1	30
305	2	48
305	3	68
306	1	20
306	2	24
306	3	30
306	4	36
306	5	44
306	6	52
306	7	60
306	8	68
309	1	30
309	2	36
309	3	44
309	4	52
309	5	60
309	6	68
310	1	34
310	2	38
310	3	28
310	4	24
310	5	40
311	1	20
311	2	26
311	3	34
311	4	42
311	5	50
311	6	58
311	7	66
312	1	18
312	2	24
312	3	32
312	4	40
312	5	48
312	6	56
312	7	64
313	1	48
314	1	18
314	2	26
314	3	36
314	4	46
314	5	56
314	6	66
316	1	46
316	2	52
316	3	60
316	4	68
346	1	18
346	2	28
346	3	38
346	4	48
346	5	58
346	6	68
347	1	20
355	1	32
356	1	38
357	1	44
358	1	36
359	1	28
359	2	36
359	3	46
359	4	56
359	5	66
360	1	22
361	1	28
361	2	36
361	3	46
361	4	56
361	5	66
362	1	22
362	2	28
362	3	36
362	4	44
362	5	52
362	6	60
362	7	68
363	1	38
364	1	15
364	2	18
364	3	24
364	4	30
364	5	36
364	6	42
364	7	48
364	8	54
364	9	60
364	10	66
365	1	15
365	2	20
365	3	28
365	4	36
365	5	44
365	6	52
365	7	60
365	8	68
366	1	40
367	1	15
367	2	22
367	3	30
367	4	38
367	5	46
367	6	54
367	7	62
368	1	42
368	2	50
368	3	60
368	4	68
369	1	26
369	2	34
369	3	44
369	4	54
369	5	64
370	1	34
371	1	50
372	1	50
400	1	15
400	2	20
400	3	26
400	4	32
400	5	38
400	6	44
400	7	50
400	8	56
400	9	62
400	10	68
401	1	15
401	2	20
401	3	26
401	4	32
401	5	38
401	6	44
401	7	50
401	8	56
401	9	62
401	10	68
402	1	24
402	2	30
402	3	38
402	4	46
402	5	54
402	6	62
403	1	18
403	2	24
403	3	32
403	4	40
403	5	48
403	6	56
403	7	64
403	8	68
404	1	22
404	2	32
404	3	44
404	4	56
404	5	68
405	1	28
405	2	36
405	3	46
405	4	56
405	5	66
411	1	26
411	2	34
411	3	42
411	4	50
411	5	58
411	6	66
412	1	46
412	2	50
412	3	56
412	4	62
412	5	68
413	1	50
415	1	15
415	2	22
415	3	30
415	4	38
415	5	46
415	6	54
415	7	62
415	8	68
418	1	30
418	2	36
418	3	44
418	4	52
418	5	60
418	6	68
422	1	32
422	2	38
422	3	46
422	4	54
422	5	62
423	1	42
423	2	46
423	3	52
423	4	58
423	5	64
424	1	18
424	2	28
424	3	38
424	4	48
424	5	58
424	6	68
425	1	46
425	2	50
425	3	56
425	4	62
425	5	68
426	1	36
427	1	20
427	2	28
427	3	38
427	4	48
427	5	58
427	6	68
428	1	20
428	2	26
428	3	34
428	4	42
428	5	50
428	6	58
428	7	66
433	1	48
435	1	20
441	1	38
441	2	46
441	3	56
441	4	66
442	1	24
442	2	30
442	3	38
442	4	46
442	5	54
442	6	62
479	1	44
479	2	48
479	3	54
479	4	60
479	5	66
480	1	40
480	2	48
480	3	58
480	4	68
482	1	34
482	2	40
482	3	48
482	4	56
482	5	64
498	1	18
498	2	28
498	3	38
498	4	48
498	5	58
498	6	68
526	1	20
528	1	20
537	1	15
537	2	22
537	3	30
537	4	38
537	5	46
537	6	54
537	7	62
544	1	30
544	2	40
544	3	52
544	4	64
545	1	20
545	2	28
545	3	38
545	4	48
545	5	58
545	6	68
546	1	24
546	2	32
546	3	42
546	4	52
546	5	62
547	1	34
547	2	40
547	3	48
547	4	56
547	5	64
548	1	26
548	2	34
548	3	44
548	4	54
548	5	64
549	1	28
549	2	38
549	3	50
549	4	62
550	1	22
550	2	30
550	3	40
550	4	50
550	5	60
551	1	32
551	2	40
551	3	50
551	4	60
552	1	50
553	1	15
553	2	20
553	3	26
553	4	32
553	5	38
553	6	44
553	7	50
553	8	56
553	9	62
553	10	68
554	1	18
554	2	24
554	3	32
554	4	40
554	5	48
554	6	56
554	7	64
555	1	28
555	2	36
555	3	46
555	4	56
555	5	66
556	1	40
556	2	44
556	3	50
556	4	56
556	5	62
556	6	68
557	1	44
558	1	26
558	2	48
559	1	38
559	2	44
559	3	52
559	4	60
559	5	68
561	1	18
561	2	22
561	3	28
561	4	34
561	5	40
561	6	46
561	7	52
561	8	58
561	9	64
562	1	15
562	2	20
562	3	26
562	4	32
562	5	38
562	6	44
562	7	50
562	8	56
562	9	62
562	10	68
563	1	44
563	2	62
564	1	38
564	2	42
564	3	48
564	4	54
564	5	60
564	6	66
564	7	68
565	1	18
565	2	22
565	3	28
565	4	34
565	5	40
565	6	46
565	7	52
565	8	58
565	9	64
566	1	42
566	2	60
567	1	40
567	2	44
567	3	50
567	4	56
567	5	62
567	6	68
568	1	38
568	2	46
568	3	56
568	4	66
569	1	18
569	2	24
569	3	32
569	4	40
569	5	48
569	6	56
569	7	62
569	8	68
570	1	48
570	2	52
570	3	58
