SkillID	SkillLevel	OpenLevel
35	1	100
81	1	28
100	1	44
101	1	15
101	2	16
101	3	17
101	4	18
101	5	19
101	6	20
101	7	21
101	8	22
101	9	23
101	10	24
101	11	26
101	12	29
101	13	32
101	14	35
101	15	38
101	16	41
101	17	44
101	18	47
101	19	50
101	20	54
101	21	58
101	22	62
101	23	66
101	24	70
101	25	74
101	26	78
101	27	82
101	28	86
101	29	90
130	1	40
130	2	42
130	3	45
130	4	50
130	5	60
130	6	70
130	7	80
130	8	90
131	1	26
132	1	18
132	2	18
132	3	32
132	4	44
132	5	56
132	6	68
132	7	80
133	1	38
134	1	26
136	1	52
138	1	15
138	2	16
138	3	17
138	4	18
138	5	19
138	6	20
138	7	21
138	8	22
138	9	23
138	10	24
138	11	27
138	12	30
138	13	33
138	14	36
138	15	39
138	16	42
138	17	45
138	18	48
138	19	51
138	20	55
138	21	59
138	22	63
138	23	67
138	24	71
138	25	75
138	26	79
138	27	83
138	28	87
139	1	34
139	2	40
139	3	52
139	4	72
139	5	89
140	1	14
140	2	20
140	3	28
140	4	33
140	5	38
140	6	43
140	7	48
140	8	53
140	9	58
140	10	63
140	11	68
140	12	73
140	13	78
140	14	83
140	15	88
142	1	22
142	2	23
142	3	24
142	4	25
142	5	26
142	6	27
142	7	28
142	8	29
142	9	30
142	10	21
142	11	32
142	12	33
142	13	34
142	14	35
142	15	37
142	16	40
142	17	43
142	18	46
142	19	49
142	20	52
142	21	56
142	22	60
142	23	64
142	24	68
142	25	72
142	26	76
142	27	80
142	28	84
142	29	88
179	1	1
179	2	5
179	3	15
179	4	17
179	5	18
179	6	19
179	7	20
179	8	21
179	9	22
179	10	24
179	11	27
179	12	30
179	13	33
179	14	36
179	15	39
179	16	42
179	17	45
179	18	48
179	19	51
179	20	55
179	21	59
179	22	63
179	23	67
179	24	71
179	25	75
179	26	79
179	27	83
179	28	87
180	1	15
180	2	16
180	3	17
180	4	18
180	5	19
180	6	20
180	7	21
180	8	22
180	9	23
180	10	24
180	11	26
180	12	29
180	13	32
180	14	35
180	15	38
180	16	41
180	17	44
180	18	47
180	19	50
180	20	54
180	21	58
180	22	62
180	23	66
180	24	70
180	25	74
180	26	78
180	27	82
180	28	86
180	29	90
182	1	15
182	2	16
182	3	17
182	4	18
182	5	19
182	6	20
182	7	21
182	8	22
182	9	23
182	10	24
182	11	25
182	12	28
182	13	31
182	14	34
182	15	37
182	16	40
182	17	43
182	18	46
182	19	49
182	20	52
182	21	56
182	22	60
182	23	64
182	24	68
182	25	72
182	26	76
182	27	80
182	28	84
182	29	88
183	1	34
184	1	44
184	2	54
184	3	64
184	4	70
186	1	15
186	2	28
186	3	48
186	4	68
189	1	14
189	2	16
189	3	17
189	4	21
189	5	25
189	6	29
189	7	33
189	8	37
189	9	41
189	10	45
189	11	49
189	12	53
189	13	57
189	14	60
189	15	63
189	16	67
189	17	70
189	18	73
189	19	76
189	20	79
189	21	82
189	22	85
189	23	88
189	24	90
190	1	22
190	2	26
190	3	22
190	4	35
190	5	38
190	6	41
190	7	44
190	8	47
190	9	50
190	10	53
190	11	57
190	12	61
190	13	65
190	14	69
190	15	73
190	16	77
190	17	81
190	18	85
190	19	89
200	1	40
200	2	42
200	3	45
200	4	50
200	5	60
200	6	70
200	7	80
200	8	90
200	9	96
200	10	110
228	1	30
228	2	32
228	3	35
228	4	50
228	5	65
228	6	80
232	1	1
232	2	5
232	3	11
232	4	12
232	5	13
232	6	14
232	7	15
232	8	18
232	9	19
232	10	24
232	11	27
232	12	30
232	13	33
232	14	36
232	15	39
232	16	42
232	17	45
232	18	48
232	19	51
232	20	55
232	21	59
232	22	63
232	23	67
232	24	71
232	25	75
232	26	79
232	27	83
232	28	87
233	1	15
233	2	16
233	3	17
233	4	18
233	5	19
233	6	20
233	7	21
233	8	22
