SkillID	SkillLevel	OpenLevel
35	1	110
81	1	108
100	1	115
101	1	108
101	2	108
101	3	108
101	4	108
101	5	108
101	6	108
101	7	108
101	8	108
101	9	108
101	10	108
101	11	108
101	12	108
101	13	108
101	14	108
101	15	108
101	16	108
101	17	108
101	18	108
101	19	108
101	20	108
101	21	108
101	22	108
101	23	108
101	24	108
101	25	108
101	26	108
101	27	108
101	28	108
101	29	108
130	1	118
130	2	118
130	3	118
130	4	118
130	5	118
130	6	118
130	7	118
130	8	118
131	1	114
132	1	109
132	2	109
132	3	109
132	4	109
132	5	109
132	6	109
132	7	109
133	1	38
134	1	26
136	1	116
138	1	107
138	2	107
138	3	107
138	4	107
138	5	107
138	6	107
138	7	107
138	8	107
138	9	107
138	10	107
138	11	107
138	12	107
138	13	107
138	14	107
138	15	107
138	16	107
138	17	107
138	18	107
138	19	107
138	20	107
138	21	107
138	22	107
138	23	107
138	24	107
138	25	107
138	26	107
138	27	107
138	28	107
139	1	112
139	2	112
139	3	112
139	4	112
139	5	112
140	1	110
140	2	110
140	3	110
140	4	110
140	5	110
140	6	110
140	7	110
140	8	110
140	9	110
140	10	110
140	11	110
140	12	110
140	13	110
140	14	110
140	15	110
142	1	111
142	2	111
142	3	111
142	4	111
142	5	111
142	6	111
142	7	111
142	8	111
142	9	111
142	10	111
142	11	111
142	12	111
142	13	111
142	14	111
142	15	111
142	16	111
142	17	111
142	18	111
142	19	111
142	20	111
142	21	111
142	22	111
142	23	111
142	24	111
142	25	111
142	26	111
142	27	111
142	28	111
142	29	111
179	1	100
179	2	100
179	3	100
179	4	100
179	5	100
179	6	100
179	7	100
179	8	100
179	9	100
179	10	100
179	11	100
179	12	100
179	13	100
179	14	100
179	15	100
179	16	100
179	17	100
179	18	100
179	19	100
179	20	100
179	21	100
179	22	100
179	23	100
179	24	100
179	25	100
179	26	100
179	27	100
179	28	100
180	1	101
180	2	101
180	3	101
180	4	101
180	5	101
180	6	101
180	7	101
180	8	101
180	9	101
180	10	101
180	11	101
180	12	101
180	13	101
180	14	101
180	15	101
180	16	101
180	17	101
180	18	101
180	19	101
180	20	101
180	21	101
180	22	101
180	23	101
180	24	101
180	25	101
180	26	101
180	27	101
180	28	101
180	29	101
182	1	103
182	2	103
182	3	103
182	4	103
182	5	103
182	6	103
182	7	103
182	8	103
182	9	103
182	10	103
182	11	103
182	12	103
182	13	103
182	14	103
182	15	103
182	16	103
182	17	103
182	18	103
182	19	103
182	20	103
182	21	103
182	22	103
182	23	103
182	24	103
182	25	103
182	26	103
182	27	103
182	28	103
182	29	103
183	1	34
184	1	44
184	2	54
184	3	64
184	4	70
186	1	111
186	2	111
186	3	111
186	4	111
189	1	106
189	2	106
189	3	106
189	4	106
189	5	106
189	6	106
189	7	106
189	8	106
189	9	106
189	10	106
189	11	106
189	12	106
189	13	106
189	14	106
189	15	106
189	16	106
189	17	106
189	18	106
189	19	106
189	20	106
189	21	106
189	22	106
189	23	106
189	24	106
190	1	107
190	2	107
190	3	107
190	4	107
190	5	107
190	6	107
190	7	107
190	8	107
190	9	107
190	10	107
190	11	107
190	12	107
190	13	107
190	14	107
190	15	107
190	16	107
190	17	107
190	18	107
190	19	107
200	1	111
200	2	113
200	3	113
200	4	113
200	5	113
200	6	113
200	7	113
200	8	113
200	9	113
200	10	113
228	1	113
228	2	113
228	3	113
228	4	113
228	5	113
228	6	113
232	1	100
232	2	100
232	3	100
232	4	100
232	5	100
232	6	100
232	7	100
232	8	100
232	9	100
232	10	100
232	11	100
232	12	100
232	13	100
232	14	100
232	15	100
232	16	100
232	17	100
232	18	100
232	19	100
232	20	100
232	21	100
232	22	100
232	23	100
232	24	100
232	25	100
232	26	100
232	27	100
232	28	100
233	1	101
233	2	103
233	3	103
233	4	103
233	5	103
233	6	103
233	7	103
233	8	103
233	9	103
233	10	103
233	11	103
233	12	103
233	13	103
233	14	103
233	15	103
233	16	103
233	17	103
233	18	103
233	19	103
233	20	103
233	21	103
233	22	103
233	23	103
233	24	103
233	25	103
233	26	103
233	27	103
233	28	103
233	29	103
235	1	106
235	2	109
235	3	109
235	4	109
235	5	109
235	6	109
235	7	109
235	8	109
235	9	109
235	10	109
235	11	109
235	12	109
235	13	109
235	14	109
235	15	109
235	16	109
235	17	109
235	18	109
235	19	109
235	20	109
235	21	109
235	22	109
235	23	109
235	24	109
235	25	109
235	26	109
235	27	109
235	28	109
235	29	109
236	1	107
236	2	109
236	3	109
236	4	109
236	5	109
236	6	109
238	1	108
238	2	109
238	3	109
238	4	109
238	5	109
238	6	109
238	7	109
238	8	109
238	9	109
238	10	109
238	11	109
238	12	109
238	13	109
238	14	109
238	15	109
238	16	109
238	17	109
238	18	109
238	19	109
238	20	109
238	21	109
238	22	109
238	23	109
239	1	38
239	2	46
239	3	54
239	4	62
239	5	70
240	1	34
240	2	44
240	3	54
240	4	64
241	1	10
241	2	15
241	3	16
241	4	17
241	5	18
241	6	19
241	7	20
241	8	21
241	9	22
241	10	23
241	11	25
241	12	28
241	13	31
241	14	34
241	15	37
241	16	40
241	17	43
241	18	46
241	19	49
241	20	52
241	21	56
241	22	60
241	23	64
241	24	68
241	25	72
241	26	76
241	27	80
241	28	84
241	29	88
242	1	111
243	1	110
243	2	111
243	3	111
243	4	111
243	5	111
243	6	111
243	7	111
243	8	111
243	9	111
243	10	111
243	11	111
243	12	111
243	13	111
243	14	111
243	15	111
243	16	111
243	17	111
243	18	111
243	19	111
245	1	113
245	2	78
245	3	79
245	4	80
245	5	81
245	6	82
246	1	18
246	2	30
246	3	42
246	4	54
246	5	66
246	6	78
247	1	28
247	2	38
247	3	48
247	4	58
247	5	68
249	1	40
249	2	50
249	3	60
249	4	70
252	1	109
252	2	110
252	3	110
257	1	114
258	1	118
259	1	34
259	2	44
260	1	112
261	1	115
261	2	56
261	3	64
261	4	84
301	1	103
301	2	103
301	3	103
301	4	103
301	5	103
301	6	103
301	7	103
301	8	103
301	9	103
301	10	103
301	11	103
301	12	103
301	13	103
301	14	103
301	15	103
301	16	103
301	17	103
301	18	103
301	19	103
301	20	103
301	21	103
301	22	103
301	23	103
301	24	103
301	25	103
301	26	103
301	27	103
301	28	103
301	29	103
301	30	103
301	31	103
301	32	103
301	33	103
301	34	103
301	35	103
303	1	109
303	2	109
303	3	109
303	4	109
303	5	109
