ForceID	KungFuID	PointID	CostTrain	PointRequireLevel	SkillID1	SkillLevel1	RequireLevel1	RequireQuestID1	SkillID2	SkillLevel2	RequireLevel2	RequireQuestID2	SkillID3	SkillLevel3	RequireLevel3	RequireQuestID3	SkillID4	SkillLevel4	RequireLevel4	RequireQuestID4	SkillID5	SkillLevel5	RequireLevel5	RequireQuestID5
3	6	1	0	11	5656	1	11	0	5657	1	15	0	18487	1	23	0								
3	6	2	0	17	5660	1	17	0	32911	1	21	0	18224	1	29	0								
3	6	3	0	25	18602	1	25	0	5658	1	27	0	5659	1	31	0	18228	1	37	0				
3	6	4	0	33	18226	1	33	0	5673	1	35	0	24896	1	39	0	32893	1	45	0				
3	6	5	0	41	5669	1	41	0	36104	1	43	0	14824	1	47	0	30653	1	53	0				
3	6	6	0	96	5694	1	96	0	6511	1	96	0	23997	1	96	0	6530	1	96	0				
3	6	7	0	96	6528	1	96	0	5666	1	96	0	18233	1	96	0	2611	1	96	0				
3	6	8	0	97	21285	1	97	0	18557	1	97	0	5676	1	97	0	6781	1	97	0	24895	1	102	0
3	6	9	0	97	6524	1	97	0	6514	1	97	0	32905	1	97	0	2628	1	97	0	28442	1	104	0
3	6	10	0	98	22727	1	98	0	6806	1	98	0	5678	1	98	0	18231	1	98	0	24899	1	106	0
3	6	11	0	99	14821	1	99	0	28564	1	99	0	15001	1	99	0	14823	1	99	0	24901	1	108	0
3	6	12	0	100	6517	1	100	0	14804	1	100	0	30654	1	100	0	15158	1	100	0	24841	1	110	0
3	8	13	0	11	5699	1	11	0	5679	1	19	0	402	1	23	0								
3	8	14	0	17	5688	1	17	0	5680	1	21	0	18224	1	29	0								
3	8	15	0	25	18602	1	25	0	5658	1	27	0	5659	1	31	0	18228	1	37	0				
3	8	16	0	33	18226	1	33	0	5682	1	35	0	5695	1	39	0	482	1	45	0				
3	8	17	0	41	5669	1	41	0	18872	1	43	0	5681	1	47	0	18233	1	53	0				
3	8	18	0	96	5696	1	96	0	5701	1	96	0	5697	1	96	0	18238	1	96	0				
3	8	19	0	96	5686	1	96	0	5702	1	96	0	5675	1	96	0	6518	1	96	0				
3	8	20	0	97	18557	1	97	0	6528	1	97	0	5700	1	97	0	6781	1	97	0	24895	1	102	0
3	8	21	0	97	5685	1	97	0	6514	1	97	0	5689	1	97	0	2628	1	97	0	25354	1	104	0
3	8	22	0	98	14799	1	98	0	14800	1	98	0	14823	1	98	0	18239	1	98	0	5694	1	106	0
3	8	23	0	99	14828	1	99	0	14822	1	99	0	14802	1	99	0	14827	1	99	0	24902	1	108	0
3	8	24	0	100	14805	1	100	0	14804	1	100	0	14826	1	100	0	15115	1	100	0	24841	1	110	0
4	4	25	0	11	5801	1	11	0	5807	1	1	0	18701	1	1	0								
4	4	26	0	17	32407	1	17	0	5811	1	21	0	17747	1	29	0								
4	4	27	0	25	14041	1	25	0	5800	1	27	0	5830	1	31	0	357	1	37	0				
4	4	28	0	33	21812	1	33	0	5818	1	35	0	26700	1	39	0	310	1	45	0				
4	4	29	0	41	5809	1	41	0	17742	1	43	0	36106	1	47	0	24969	1	53	0				
4	4	30	0	96	5802	1	96	0	30831	1	96	0	5821	1	96	0	14986	1	96	0				
4	4	31	0	96	6758	1	96	0	6481	1	96	0	21725	1	96	0	32400	1	96	0				
4	4	32	0	97	14829	1	97	0	5813	1	97	0	14598	1	97	0	32403	1	97	0	24962	1	102	0
4	4	33	0	97	5810	1	97	0	6466	1	97	0	18799	1	97	0	6744	1	97	0	24961	1	104	0
4	4	34	0	98	6472	1	98	0	17743	1	98	0	20782	1	98	0	34656	1	98	0	24958	1	106	0
4	4	35	0	99	17731	1	99	0	14835	1	99	0	22704	1	99	0	14832	1	99	0	5812	1	108	0
4	4	36	0	100	6757	1	100	0	32447	1	100	0	14833	1	100	0	15187	1	100	0	24972	1	110	0
4	3	37	0	11	5840	1	11	0	5827	1	19	0	17752	1	23	0								
4	3	38	0	17	5828	1	17	0	5823	1	21	0	17747	1	29	0								
4	3	39	0	25	22703	1	25	0	33098	1	27	0	5846	1	31	0	357	1	37	0				
4	3	40	0	33	14837	1	33	0	23614	1	35	0	21707	1	39	0	370	1	45	0				
4	3	41	0	41	5829	1	41	0	5819	1	43	0	14041	1	47	0	5830	1	53	0				
4	3	42	0	96	5802	1	96	0	18695	1	96	0	26683	1	96	0	24942	1	96	0				
4	3	43	0	96	6798	1	96	0	6481	1	96	0	18694	1	96	0	32411	1	96	0				
4	3	44	0	97	14834	1	97	0	5813	1	97	0	21712	1	97	0	26684	1	97	0	34631	1	102	0
4	3	45	0	97	34580	1	97	0	18679	1	97	0	18798	1	97	0	6904	1	97	0	24953	1	104	0
4	3	46	0	98	6472	1	98	0	5844	1	98	0	32412	1	98	0	6796	1	98	0	24945	1	106	0
4	3	47	0	99	18669	1	99	0	14835	1	99	0	30821	1	99	0	14836	1	99	0	32413	1	108	0
4	3	48	0	100	14598	1	100	0	14613	1	100	0	36099	1	100	0	23969	1	100	0	24955	1	110	0
2	7	49	0	11	5777	1	11	0	5785	1	19	0	18271	1	23	0								
2	7	50	0	17	5780	1	17	0	5783	1	21	0	18272	1	29	0								
2	7	51	0	25	5782	1	25	0	5776	1	27	0	31208	1	31	0	133	1	37	0				
2	7	52	0	33	34329	1	33	0	20790	1	35	0	5797	1	39	0	183	1	45	0				
2	7	53	0	41	9145	1	41	0	36095	1	43	0	5779	1	47	0	14659	1	53	0				
2	7	54	0	96	5770	1	96	0	35048	1	96	0	32375	1	96	0	17565	1	96	0				
2	7	55	0	96	32378	1	96	0	14662	1	96	0	5791	1	96	0	29735	1	96	0				
2	7	56	0	97	5775	1	97	0	14641	1	97	0	34340	1	97	0	19262	1	97	0	34583	1	102	0
2	7	57	0	97	5781	1	97	0	5784	1	97	0	18275	1	97	0	30647	1	97	0	34102	1	104	0
2	7	58	0	98	14637	1	98	0	28506	1	98	0	16853	1	98	0	23944	1	98	0	32379	1	106	0
2	7	59	0	99	21265	1	99	0	36096	1	99	0	13850	1	99	0	34331	1	99	0	32380	1	108	0
2	7	60	0	100	5798	1	100	0	28465	1	100	0	32381	1	100	0	14963	1	100	0	24911	1	110	0
2	5	61	0	11	5756	1	11	0	5753	1	19	0	18271	1	23	0								
2	5	62	0	17	32489	1	17	0	32484	1	21	0	5751	1	29	0								
2	5	63	0	25	5759	1	25	0	5774	1	27	0	17510	1	31	0	133	1	37	0				
2	5	64	0	33	5771	1	33	0	32483	1	35	0	30596	1	39	0	183	1	45	0				
2	5	65	0	41	5762	1	41	0	21744	1	43	0	14635	1	47	0	25951	1	53	0				
2	5	66	0	96	32477	1	96	0	32638	1	96	0	36017	1	96	0	23945	1	96	0				
2	5	67	0	96	21736	1	96	0	16855	1	96	0	5770	1	96	0	18258	1	96	0				
2	5	68	0	97	17565	1	97	0	34573	1	97	0	6685	1	97	0	18259	1	97	0	26692	1	102	0
2	5	69	0	97	6686	1	97	0	6682	1	97	0	26694	1	97	0	28464	1	97	0	24912	1	104	0
2	5	70	0	98	30650	1	98	0	5784	1	98	0	34564	1	98	0	32480	1	98	0	24914	1	106	0
2	5	71	0	99	32469	1	99	0	26669	1	99	0	14634	1	99	0	18268	1	99	0	24916	1	108	0
2	5	72	0	100	14643	1	100	0	30737	1	100	0	28465	1	100	0	14965	1	100	0	24919	1	110	0
1	2	73	0	11	5896	1	11	0	6589	1	19	0	6788	1	23	0								
1	2	74	0	17	5910	1	17	0	5912	1	21	0	16897	1	29	0								
1	2	75	0	25	5915	1	25	0	30913	1	27	0	5914	1	31	0	240	1	37	0				
1	2	76	0	33	17750	1	33	0	16900	1	35	0	28348	1	39	0	32637	1	45	0				
1	2	77	0	41	5913	1	41	0	14793	1	43	0	14758	1	47	0	28317	1	53	0				
1	2	78	0	96	18623	1	96	0	14750	1	96	0	5911	1	96	0	17730	1	96	0				
1	2	79	0	96	6590	1	96	0	6587	1	96	0	14795	1	96	0	5934	1	96	0				
1	2	80	0	97	5930	1	97	0	6595	1	97	0	6586	1	97	0	16894	1	97	0	24884	1	102	0
1	2	81	0	97	14757	1	97	0	6596	1	97	0	6580	1	97	0	16886	1	97	0	24885	1	104	0
1	2	82	0	98	5909	1	98	0	21703	1	98	0	5906	1	98	0	259	1	98	0	32647	1	106	0
1	2	83	0	99	21697	1	99	0	14752	1	99	0	14820	1	99	0	32648	1	99	0	25063	1	108	0
1	2	84	0	100	32649	1	100	0	29191	1	100	0	32650	1	100	0	32651	1	100	0	24819	1	110	0
1	1	85	0	11	5941	1	11	0	5923	1	19	0	5919	1	23	0								
1	1	86	0	17	5922	1	17	0	5910	1	21	0	6790	1	29	0								
1	1	87	0	25	16890	1	25	0	5932	1	27	0	5931	1	31	0	240	1	37	0				
1	1	88	0	33	17750	1	33	0	6783	1	35	0	5899	1	39	0	2589	1	45	0				
1	1	89	0	41	5926	1	41	0	5939	1	43	0	5921	1	47	0	6579	1	53	0				
1	1	90	0	96	5927	1	96	0	5929	1	96	0	5938	1	96	0	246	1	96	0				
1	1	91	0	96	17745	1	96	0	18623	1	96	0	5925	1	96	0	31905	1	96	0				
1	1	92	0	97	5930	1	97	0	5935	1	97	0	5936	1	97	0	16894	1	97	0	6589	1	102	0
1	1	93	0	97	6591	1	97	0	5933	1	97	0	14750	1	97	0	16899	1	97	0	24885	1	104	0
